,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Lat,Long,Comm_Area
104,30257,N,Belmont (Kimball-Linden-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,True,False,False,False,True,False,True,False,False,False,"41.939751, -87.65338",41.939751,-87.65338,6
105,30228,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190,False,True,False,False,False,False,False,False,False,False,"42.015876, -87.669092",42.015876,-87.669092,1
106,30216,S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),41130,True,False,False,False,False,False,False,False,False,True,"41.84678, -87.648088",41.84678,-87.648088,60
107,30011,S,Davis (Howard-Loop-bound),Davis,Davis (Purple Line),40050,True,False,False,False,False,True,True,False,False,False,"42.04771, -87.683543",42.04771,-87.683543,0
108,30270,S,Roosevelt (95th-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,True,False,False,False,False,False,False,False,False,"41.867368, -87.627402",41.867368,-87.627402,33
109,30233,N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",41220,True,True,False,False,False,False,False,False,False,False,"41.925051, -87.652866",41.925051,-87.652866,7
110,30079,S,Noyes (Howard-Loop-bound),Noyes,Noyes (Purple Line),40400,False,False,False,False,False,True,True,False,False,False,"42.058282, -87.683337",42.058282,-87.683337,0
111,30137,N,Chicago (Kimball-Linden-bound),Chicago,Chicago (Brown & Purple lines),40710,True,False,False,False,True,False,True,False,False,False,"41.89681, -87.635924",41.89681,-87.635924,8
112,30261,E,LaSalle (O'Hare-bound),LaSalle,LaSalle (Blue Line),41340,False,False,True,False,False,False,False,False,False,False,"41.875568, -87.631722",41.875568,-87.631722,32
113,30211,N,Monroe (Howard-bound),Monroe,Monroe (Red Line),41090,False,True,False,False,False,False,False,False,False,False,"41.880745, -87.627696",41.880745,-87.627696,32
114,30291,E,Conservatory (63rd-bound),Conservatory,Conservatory (Green Line),41670,True,False,False,True,False,False,False,False,False,False,"41.884904, -87.716523",41.884904,-87.716523,27
115,30225,N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),41180,True,False,False,False,True,False,False,False,False,False,"41.965996, -87.708821",41.965996,-87.708821,14
116,30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,True,False,False,True,False,False,False,False,False,False,"41.80209, -87.618487",41.80209,-87.618487,38
117,30099,N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),40510,True,False,False,True,False,False,False,False,False,False,"41.795172, -87.618327",41.795172,-87.618327,40
